scan_filename,supplier,q_class,commodity,invoice_number,issue_date,due_date,tax_point_date,period_from,period_to,amount_ex_vat,amount_inc_vat,customer_tax_id,supplier_tax_id,consumption_point_code,pdf_path
faktura_VPE2025333752.pdf,VoltPro Energie a.s.,Q1,elektrina_vn,VPE2025333752,2025-01-12,2025-01-26,,2024-07-01,2024-12-31,680741.82,,00271624,23456789,,C:\Users\kseni\ai_invoice_extractor\data\ds3\elektrina_vn\voltpro\Q1\faktura_VPE2025333752.pdf
faktura_VPE2024128941.pdf,VoltPro Energie a.s.,Q1,elektrina_vn,VPE2024128941,2024-07-15,2024-07-29,,2024-01-01,2024-06-30,497573.36,,00271624,23456789,,C:\Users\kseni\ai_invoice_extractor\data\ds3\elektrina_vn\voltpro\Q1\faktura_VPE2024128941.pdf
faktura_VPE2024503906.pdf,VoltPro Energie a.s.,Q1,elektrina_vn,VPE2024503906,2024-07-08,2024-07-22,,2024-01-01,2024-06-30,407417.28,,00262812,23456789,,C:\Users\kseni\ai_invoice_extractor\data\ds3\elektrina_vn\voltpro\Q1\faktura_VPE2024503906.pdf
faktura_VPE2025481913.pdf,VoltPro Energie a.s.,Q2,elektrina_vn,VPE2025481913,2025-07-11,2025-07-25,,2025-01-01,2025-06-30,148222.02,,00262812,23456789,,C:\Users\kseni\ai_invoice_extractor\data\ds3\elektrina_vn\voltpro\Q2\faktura_VPE2025481913.pdf
faktura_VPE2025810219.pdf,VoltPro Energie a.s.,Q2,elektrina_vn,VPE2025810219,2025-01-17,2025-01-31,,2024-07-01,2024-12-31,589402.19,,00262812,23456789,,C:\Users\kseni\ai_invoice_extractor\data\ds3\elektrina_vn\voltpro\Q2\faktura_VPE2025810219.pdf
faktura_VPE2025219629.pdf,VoltPro Energie a.s.,Q2,elektrina_vn,VPE2025219629,2025-07-20,2025-08-03,,2025-01-01,2025-06-30,397212.83,,00314021,23456789,,C:\Users\kseni\ai_invoice_extractor\data\ds3\elektrina_vn\voltpro\Q2\faktura_VPE2025219629.pdf
faktura_VPE2025728492.pdf,VoltPro Energie a.s.,Q3,elektrina_vn,VPE2025728492,2025-01-11,2025-01-25,,2024-07-01,2024-12-31,421622.11,,00314021,23456789,,C:\Users\kseni\ai_invoice_extractor\data\ds3\elektrina_vn\voltpro\Q3\faktura_VPE2025728492.pdf
faktura_VPE2024831380.pdf,VoltPro Energie a.s.,Q3,elektrina_vn,VPE2024831380,2024-07-11,2024-07-25,,2024-01-01,2024-06-30,641716.89,,00314021,23456789,,C:\Users\kseni\ai_invoice_extractor\data\ds3\elektrina_vn\voltpro\Q3\faktura_VPE2024831380.pdf
faktura_VPE2025651499.pdf,VoltPro Energie a.s.,Q3,elektrina_vn,VPE2025651499,2025-07-08,2025-07-22,,2025-01-01,2025-06-30,183389.06,,00271624,23456789,,C:\Users\kseni\ai_invoice_extractor\data\ds3\elektrina_vn\voltpro\Q3\faktura_VPE2025651499.pdf
faktura_HVE2024693343.pdf,HighVolt Energy a.s.,Q1,elektrina_vn,HVE2024693343,2024-07-15,2024-07-29,,2024-01-01,2024-06-30,509059.63,,00314021,44556677,,C:\Users\kseni\ai_invoice_extractor\data\ds3\elektrina_vn\highvolt\Q1\faktura_HVE2024693343.pdf
faktura_HVE2025817675.pdf,HighVolt Energy a.s.,Q1,elektrina_vn,HVE2025817675,2025-01-07,2025-01-21,,2024-07-01,2024-12-31,456835.62,,00262812,44556677,,C:\Users\kseni\ai_invoice_extractor\data\ds3\elektrina_vn\highvolt\Q1\faktura_HVE2025817675.pdf
faktura_HVE2025180674.pdf,HighVolt Energy a.s.,Q1,elektrina_vn,HVE2025180674,2025-01-17,2025-01-31,,2024-07-01,2024-12-31,196944.21,,00314021,44556677,,C:\Users\kseni\ai_invoice_extractor\data\ds3\elektrina_vn\highvolt\Q1\faktura_HVE2025180674.pdf
faktura_HVE2025625119.pdf,HighVolt Energy a.s.,Q2,elektrina_vn,HVE2025625119,2025-01-07,2025-01-21,,2024-07-01,2024-12-31,574127.32,,00271624,44556677,,C:\Users\kseni\ai_invoice_extractor\data\ds3\elektrina_vn\highvolt\Q2\faktura_HVE2025625119.pdf
faktura_HVE2024552825.pdf,HighVolt Energy a.s.,Q2,elektrina_vn,HVE2024552825,2024-07-17,2024-07-31,,2024-01-01,2024-06-30,483834.81,,00262812,44556677,,C:\Users\kseni\ai_invoice_extractor\data\ds3\elektrina_vn\highvolt\Q2\faktura_HVE2024552825.pdf
faktura_HVE2025898329.pdf,HighVolt Energy a.s.,Q2,elektrina_vn,HVE2025898329,2025-07-16,2025-07-30,,2025-01-01,2025-06-30,284632.18,,00271624,44556677,,C:\Users\kseni\ai_invoice_extractor\data\ds3\elektrina_vn\highvolt\Q2\faktura_HVE2025898329.pdf
faktura_HVE2025860053.pdf,HighVolt Energy a.s.,Q3,elektrina_vn,HVE2025860053,2025-07-07,2025-07-21,,2025-01-01,2025-06-30,251419.61,,00262812,44556677,,C:\Users\kseni\ai_invoice_extractor\data\ds3\elektrina_vn\highvolt\Q3\faktura_HVE2025860053.pdf
faktura_HVE2025212168.pdf,HighVolt Energy a.s.,Q3,elektrina_vn,HVE2025212168,2025-07-19,2025-08-02,,2025-01-01,2025-06-30,254667.01,,00314021,44556677,,C:\Users\kseni\ai_invoice_extractor\data\ds3\elektrina_vn\highvolt\Q3\faktura_HVE2025212168.pdf
faktura_HVE2024441716.pdf,HighVolt Energy a.s.,Q3,elektrina_vn,HVE2024441716,2024-07-12,2024-07-26,,2024-01-01,2024-06-30,380953.04,,00271624,44556677,,C:\Users\kseni\ai_invoice_extractor\data\ds3\elektrina_vn\highvolt\Q3\faktura_HVE2024441716.pdf
faktura_ELN2025710527.pdf,ElNord a.s.,Q1,elektrina_vn,ELN2025710527,2025-01-20,2025-02-03,,2024-07-01,2024-12-31,336008.54,,00271624,55667788,,C:\Users\kseni\ai_invoice_extractor\data\ds3\elektrina_vn\elnord\Q1\faktura_ELN2025710527.pdf
faktura_ELN2025789545.pdf,ElNord a.s.,Q1,elektrina_vn,ELN2025789545,2025-01-12,2025-01-26,,2024-07-01,2024-12-31,596655.41,,00262812,55667788,,C:\Users\kseni\ai_invoice_extractor\data\ds3\elektrina_vn\elnord\Q1\faktura_ELN2025789545.pdf
faktura_ELN2025211090.pdf,ElNord a.s.,Q1,elektrina_vn,ELN2025211090,2025-07-18,2025-08-01,,2025-01-01,2025-06-30,198900.49,,00271624,55667788,,C:\Users\kseni\ai_invoice_extractor\data\ds3\elektrina_vn\elnord\Q1\faktura_ELN2025211090.pdf
faktura_ELN2024461724.pdf,ElNord a.s.,Q2,elektrina_vn,ELN2024461724,2024-07-09,2024-07-23,,2024-01-01,2024-06-30,695281.4,,00314021,55667788,,C:\Users\kseni\ai_invoice_extractor\data\ds3\elektrina_vn\elnord\Q2\faktura_ELN2024461724.pdf
faktura_ELN2024542828.pdf,ElNord a.s.,Q2,elektrina_vn,ELN2024542828,2024-07-08,2024-07-22,,2024-01-01,2024-06-30,272544.92,,00262812,55667788,,C:\Users\kseni\ai_invoice_extractor\data\ds3\elektrina_vn\elnord\Q2\faktura_ELN2024542828.pdf
faktura_ELN2025194813.pdf,ElNord a.s.,Q2,elektrina_vn,ELN2025194813,2025-07-08,2025-07-22,,2025-01-01,2025-06-30,556028.97,,00262812,55667788,,C:\Users\kseni\ai_invoice_extractor\data\ds3\elektrina_vn\elnord\Q2\faktura_ELN2025194813.pdf
faktura_ELN2025996114.pdf,ElNord a.s.,Q3,elektrina_vn,ELN2025996114,2025-07-17,2025-07-31,,2025-01-01,2025-06-30,426842.65,,00314021,55667788,,C:\Users\kseni\ai_invoice_extractor\data\ds3\elektrina_vn\elnord\Q3\faktura_ELN2025996114.pdf
faktura_ELN2024948611.pdf,ElNord a.s.,Q3,elektrina_vn,ELN2024948611,2024-07-19,2024-08-02,,2024-01-01,2024-06-30,254312.09,,00271624,55667788,,C:\Users\kseni\ai_invoice_extractor\data\ds3\elektrina_vn\elnord\Q3\faktura_ELN2024948611.pdf
faktura_ELN2025778720.pdf,ElNord a.s.,Q3,elektrina_vn,ELN2025778720,2025-01-12,2025-01-26,,2024-07-01,2024-12-31,475822.24,,00314021,55667788,,C:\Users\kseni\ai_invoice_extractor\data\ds3\elektrina_vn\elnord\Q3\faktura_ELN2025778720.pdf
