scan_filename,supplier,q_class,commodity,invoice_number,issue_date,due_date,tax_point_date,period_from,period_to,amount_ex_vat,amount_inc_vat,customer_tax_id,supplier_tax_id,consumption_point_code,pdf_path
faktura_BGS2025883041.pdf,BohemiaGas s.r.o.,Q1,plyn_mo,BGS2025883041,2025-01-12,2025-01-26,,2024-07-01,2024-12-31,26009.7,,00262812,34567890,,C:\Users\kseni\ai_invoice_extractor\data\ds3\plyn_mo\bohemiagas\Q1\faktura_BGS2025883041.pdf
faktura_BGS2025565230.pdf,BohemiaGas s.r.o.,Q1,plyn_mo,BGS2025565230,2025-01-08,2025-01-22,,2024-07-01,2024-12-31,14967.1,,00271624,34567890,,C:\Users\kseni\ai_invoice_extractor\data\ds3\plyn_mo\bohemiagas\Q1\faktura_BGS2025565230.pdf
faktura_BGS2025551607.pdf,BohemiaGas s.r.o.,Q1,plyn_mo,BGS2025551607,2025-01-16,2025-01-30,,2024-07-01,2024-12-31,36808.49,,00314021,34567890,,C:\Users\kseni\ai_invoice_extractor\data\ds3\plyn_mo\bohemiagas\Q1\faktura_BGS2025551607.pdf
faktura_BGS2024278240.pdf,BohemiaGas s.r.o.,Q2,plyn_mo,BGS2024278240,2024-07-10,2024-07-24,,2024-01-01,2024-06-30,46123.21,,00262812,34567890,,C:\Users\kseni\ai_invoice_extractor\data\ds3\plyn_mo\bohemiagas\Q2\faktura_BGS2024278240.pdf
faktura_BGS2024367729.pdf,BohemiaGas s.r.o.,Q2,plyn_mo,BGS2024367729,2024-07-19,2024-08-02,,2024-01-01,2024-06-30,14214.55,,00271624,34567890,,C:\Users\kseni\ai_invoice_extractor\data\ds3\plyn_mo\bohemiagas\Q2\faktura_BGS2024367729.pdf
faktura_BGS2025744986.pdf,BohemiaGas s.r.o.,Q2,plyn_mo,BGS2025744986,2025-07-12,2025-07-26,,2025-01-01,2025-06-30,49510.02,,00314021,34567890,,C:\Users\kseni\ai_invoice_extractor\data\ds3\plyn_mo\bohemiagas\Q2\faktura_BGS2025744986.pdf
faktura_BGS2025614084.pdf,BohemiaGas s.r.o.,Q3,plyn_mo,BGS2025614084,2025-07-08,2025-07-22,,2025-01-01,2025-06-30,52841.13,,00262812,34567890,,C:\Users\kseni\ai_invoice_extractor\data\ds3\plyn_mo\bohemiagas\Q3\faktura_BGS2025614084.pdf
faktura_BGS2024550961.pdf,BohemiaGas s.r.o.,Q3,plyn_mo,BGS2024550961,2024-07-11,2024-07-25,,2024-01-01,2024-06-30,77876.36,,00314021,34567890,,C:\Users\kseni\ai_invoice_extractor\data\ds3\plyn_mo\bohemiagas\Q3\faktura_BGS2024550961.pdf
faktura_BGS2025197758.pdf,BohemiaGas s.r.o.,Q3,plyn_mo,BGS2025197758,2025-07-07,2025-07-21,,2025-01-01,2025-06-30,75773.85,,00271624,34567890,,C:\Users\kseni\ai_invoice_extractor\data\ds3\plyn_mo\bohemiagas\Q3\faktura_BGS2025197758.pdf
faktura_GPR2025383572.pdf,GasPraha s.r.o.,Q1,plyn_mo,GPR2025383572,2025-01-17,2025-01-31,,2024-07-01,2024-12-31,40850.95,,00314021,66778899,,C:\Users\kseni\ai_invoice_extractor\data\ds3\plyn_mo\gaspraha\Q1\faktura_GPR2025383572.pdf
faktura_GPR2025161437.pdf,GasPraha s.r.o.,Q1,plyn_mo,GPR2025161437,2025-01-13,2025-01-27,,2024-07-01,2024-12-31,32812.47,,00262812,66778899,,C:\Users\kseni\ai_invoice_extractor\data\ds3\plyn_mo\gaspraha\Q1\faktura_GPR2025161437.pdf
faktura_GPR2025901164.pdf,GasPraha s.r.o.,Q1,plyn_mo,GPR2025901164,2025-01-06,2025-01-20,,2024-07-01,2024-12-31,27525.17,,00271624,66778899,,C:\Users\kseni\ai_invoice_extractor\data\ds3\plyn_mo\gaspraha\Q1\faktura_GPR2025901164.pdf
faktura_GPR2024284654.pdf,GasPraha s.r.o.,Q2,plyn_mo,GPR2024284654,2024-07-10,2024-07-24,,2024-01-01,2024-06-30,42367.16,,00314021,66778899,,C:\Users\kseni\ai_invoice_extractor\data\ds3\plyn_mo\gaspraha\Q2\faktura_GPR2024284654.pdf
faktura_GPR2025668458.pdf,GasPraha s.r.o.,Q2,plyn_mo,GPR2025668458,2025-07-20,2025-08-03,,2025-01-01,2025-06-30,24270.2,,00262812,66778899,,C:\Users\kseni\ai_invoice_extractor\data\ds3\plyn_mo\gaspraha\Q2\faktura_GPR2025668458.pdf
faktura_GPR2025361609.pdf,GasPraha s.r.o.,Q2,plyn_mo,GPR2025361609,2025-07-06,2025-07-20,,2025-01-01,2025-06-30,25158.0,,00271624,66778899,,C:\Users\kseni\ai_invoice_extractor\data\ds3\plyn_mo\gaspraha\Q2\faktura_GPR2025361609.pdf
faktura_GPR2025490559.pdf,GasPraha s.r.o.,Q3,plyn_mo,GPR2025490559,2025-07-12,2025-07-26,,2025-01-01,2025-06-30,70569.45,,00314021,66778899,,C:\Users\kseni\ai_invoice_extractor\data\ds3\plyn_mo\gaspraha\Q3\faktura_GPR2025490559.pdf
