scan_filename,supplier,q_class,commodity,invoice_number,issue_date,due_date,tax_point_date,period_from,period_to,amount_ex_vat,amount_inc_vat,customer_tax_id,supplier_tax_id,consumption_point_code,pdf_path
faktura_IGS2024701987.pdf,InduGas s.r.o.,Q1,plyn_vo,IGS2024701987,2024-07-13,2024-07-27,,2024-01-01,2024-06-30,336106.74,,00262812,45678901,,C:\Users\kseni\ai_invoice_extractor\data\ds3\plyn_vo\indugas\Q1\faktura_IGS2024701987.pdf
faktura_IGS2024456331.pdf,InduGas s.r.o.,Q1,plyn_vo,IGS2024456331,2024-07-14,2024-07-28,,2024-01-01,2024-06-30,753570.78,,00271624,45678901,,C:\Users\kseni\ai_invoice_extractor\data\ds3\plyn_vo\indugas\Q1\faktura_IGS2024456331.pdf
faktura_IGS2025196214.pdf,InduGas s.r.o.,Q1,plyn_vo,IGS2025196214,2025-07-05,2025-07-19,,2025-01-01,2025-06-30,294792.32,,00262812,45678901,,C:\Users\kseni\ai_invoice_extractor\data\ds3\plyn_vo\indugas\Q1\faktura_IGS2025196214.pdf
faktura_IGS2025155164.pdf,InduGas s.r.o.,Q2,plyn_vo,IGS2025155164,2025-07-07,2025-07-21,,2025-01-01,2025-06-30,446484.4,,00314021,45678901,,C:\Users\kseni\ai_invoice_extractor\data\ds3\plyn_vo\indugas\Q2\faktura_IGS2025155164.pdf
faktura_IGS2025216276.pdf,InduGas s.r.o.,Q2,plyn_vo,IGS2025216276,2025-01-18,2025-02-01,,2024-07-01,2024-12-31,615946.87,,00314021,45678901,,C:\Users\kseni\ai_invoice_extractor\data\ds3\plyn_vo\indugas\Q2\faktura_IGS2025216276.pdf
faktura_IGS2024284229.pdf,InduGas s.r.o.,Q2,plyn_vo,IGS2024284229,2024-07-18,2024-08-01,,2024-01-01,2024-06-30,234044.65,,00314021,45678901,,C:\Users\kseni\ai_invoice_extractor\data\ds3\plyn_vo\indugas\Q2\faktura_IGS2024284229.pdf
faktura_IGS2025428267.pdf,InduGas s.r.o.,Q3,plyn_vo,IGS2025428267,2025-01-07,2025-01-21,,2024-07-01,2024-12-31,150135.26,,00271624,45678901,,C:\Users\kseni\ai_invoice_extractor\data\ds3\plyn_vo\indugas\Q3\faktura_IGS2025428267.pdf
faktura_IGS2025514991.pdf,InduGas s.r.o.,Q3,plyn_vo,IGS2025514991,2025-01-07,2025-01-21,,2024-07-01,2024-12-31,331321.12,,00262812,45678901,,C:\Users\kseni\ai_invoice_extractor\data\ds3\plyn_vo\indugas\Q3\faktura_IGS2025514991.pdf
faktura_IGS2025285751.pdf,InduGas s.r.o.,Q3,plyn_vo,IGS2025285751,2025-07-07,2025-07-21,,2025-01-01,2025-06-30,189966.41,,00271624,45678901,,C:\Users\kseni\ai_invoice_extractor\data\ds3\plyn_vo\indugas\Q3\faktura_IGS2025285751.pdf
faktura_PGV2024630126.pdf,ProGas VO a.s.,Q1,plyn_vo,PGV2024630126,2024-07-10,2024-07-24,,2024-01-01,2024-06-30,262932.29,,00262812,88990011,,C:\Users\kseni\ai_invoice_extractor\data\ds3\plyn_vo\progas_vo\Q1\faktura_PGV2024630126.pdf
faktura_PGV2025152796.pdf,ProGas VO a.s.,Q1,plyn_vo,PGV2025152796,2025-07-13,2025-07-27,,2025-01-01,2025-06-30,617933.51,,00262812,88990011,,C:\Users\kseni\ai_invoice_extractor\data\ds3\plyn_vo\progas_vo\Q1\faktura_PGV2025152796.pdf
faktura_PGV2025192295.pdf,ProGas VO a.s.,Q1,plyn_vo,PGV2025192295,2025-01-19,2025-02-02,,2024-07-01,2024-12-31,610101.36,,00271624,88990011,,C:\Users\kseni\ai_invoice_extractor\data\ds3\plyn_vo\progas_vo\Q1\faktura_PGV2025192295.pdf
faktura_PGV2024532368.pdf,ProGas VO a.s.,Q2,plyn_vo,PGV2024532368,2024-07-17,2024-07-31,,2024-01-01,2024-06-30,454071.73,,00271624,88990011,,C:\Users\kseni\ai_invoice_extractor\data\ds3\plyn_vo\progas_vo\Q2\faktura_PGV2024532368.pdf
faktura_PGV2025480992.pdf,ProGas VO a.s.,Q2,plyn_vo,PGV2025480992,2025-07-15,2025-07-29,,2025-01-01,2025-06-30,429376.39,,00314021,88990011,,C:\Users\kseni\ai_invoice_extractor\data\ds3\plyn_vo\progas_vo\Q2\faktura_PGV2025480992.pdf
faktura_PGV2025472390.pdf,ProGas VO a.s.,Q2,plyn_vo,PGV2025472390,2025-01-15,2025-01-29,,2024-07-01,2024-12-31,455651.44,,00314021,88990011,,C:\Users\kseni\ai_invoice_extractor\data\ds3\plyn_vo\progas_vo\Q2\faktura_PGV2025472390.pdf
faktura_PGV2025326061.pdf,ProGas VO a.s.,Q3,plyn_vo,PGV2025326061,2025-07-17,2025-07-31,,2025-01-01,2025-06-30,365520.91,,00271624,88990011,,C:\Users\kseni\ai_invoice_extractor\data\ds3\plyn_vo\progas_vo\Q3\faktura_PGV2025326061.pdf
faktura_PGV2024825423.pdf,ProGas VO a.s.,Q3,plyn_vo,PGV2024825423,2024-07-10,2024-07-24,,2024-01-01,2024-06-30,701643.27,,00314021,88990011,,C:\Users\kseni\ai_invoice_extractor\data\ds3\plyn_vo\progas_vo\Q3\faktura_PGV2024825423.pdf
faktura_PGV2025532794.pdf,ProGas VO a.s.,Q3,plyn_vo,PGV2025532794,2025-01-09,2025-01-23,,2024-07-01,2024-12-31,313839.3,,00262812,88990011,,C:\Users\kseni\ai_invoice_extractor\data\ds3\plyn_vo\progas_vo\Q3\faktura_PGV2025532794.pdf
faktura_GIN2024499371.pdf,GasInd s.r.o.,Q1,plyn_vo,GIN2024499371,2024-07-05,2024-07-19,,2024-01-01,2024-06-30,517248.26,,00314021,99001122,,C:\Users\kseni\ai_invoice_extractor\data\ds3\plyn_vo\gasind\Q1\faktura_GIN2024499371.pdf
faktura_GIN2025253541.pdf,GasInd s.r.o.,Q1,plyn_vo,GIN2025253541,2025-01-13,2025-01-27,,2024-07-01,2024-12-31,123137.5,,00262812,99001122,,C:\Users\kseni\ai_invoice_extractor\data\ds3\plyn_vo\gasind\Q1\faktura_GIN2025253541.pdf
faktura_GIN2025878476.pdf,GasInd s.r.o.,Q1,plyn_vo,GIN2025878476,2025-01-12,2025-01-26,,2024-07-01,2024-12-31,302622.25,,00271624,99001122,,C:\Users\kseni\ai_invoice_extractor\data\ds3\plyn_vo\gasind\Q1\faktura_GIN2025878476.pdf
