scan_filename,supplier,q_class,commodity,invoice_number,issue_date,due_date,tax_point_date,period_from,period_to,amount_ex_vat,amount_inc_vat,customer_tax_id,supplier_tax_id,consumption_point_code,pdf_path
faktura_ARG2024269930.pdf,AquaRegion s.r.o.,Q1,voda,ARG2024269930,2024-07-18,2024-08-01,,2024-01-01,2024-06-30,49003.71,,00262812,87654321,,C:\Users\kseni\ai_invoice_extractor\data\ds3\voda\aquaregion\Q1\faktura_ARG2024269930.pdf
faktura_ARG2025489244.pdf,AquaRegion s.r.o.,Q1,voda,ARG2025489244,2025-01-20,2025-02-03,,2024-07-01,2024-12-31,20237.2,,00314021,87654321,,C:\Users\kseni\ai_invoice_extractor\data\ds3\voda\aquaregion\Q1\faktura_ARG2025489244.pdf
faktura_ARG2025638289.pdf,AquaRegion s.r.o.,Q1,voda,ARG2025638289,2025-07-19,2025-08-02,,2025-01-01,2025-06-30,26068.18,,00271624,87654321,,C:\Users\kseni\ai_invoice_extractor\data\ds3\voda\aquaregion\Q1\faktura_ARG2025638289.pdf
faktura_ARG2025535050.pdf,AquaRegion s.r.o.,Q2,voda,ARG2025535050,2025-07-05,2025-07-19,,2025-01-01,2025-06-30,27645.65,,00262812,87654321,,C:\Users\kseni\ai_invoice_extractor\data\ds3\voda\aquaregion\Q2\faktura_ARG2025535050.pdf
faktura_ARG2025929822.pdf,AquaRegion s.r.o.,Q2,voda,ARG2025929822,2025-01-15,2025-01-29,,2024-07-01,2024-12-31,37811.71,,00262812,87654321,,C:\Users\kseni\ai_invoice_extractor\data\ds3\voda\aquaregion\Q2\faktura_ARG2025929822.pdf
faktura_ARG2025368355.pdf,AquaRegion s.r.o.,Q2,voda,ARG2025368355,2025-07-05,2025-07-19,,2025-01-01,2025-06-30,45607.16,,00314021,87654321,,C:\Users\kseni\ai_invoice_extractor\data\ds3\voda\aquaregion\Q2\faktura_ARG2025368355.pdf
faktura_ARG2024971776.pdf,AquaRegion s.r.o.,Q3,voda,ARG2024971776,2024-07-06,2024-07-20,,2024-01-01,2024-06-30,23602.21,,00314021,87654321,,C:\Users\kseni\ai_invoice_extractor\data\ds3\voda\aquaregion\Q3\faktura_ARG2024971776.pdf
faktura_ARG2025279516.pdf,AquaRegion s.r.o.,Q3,voda,ARG2025279516,2025-01-09,2025-01-23,,2024-07-01,2024-12-31,14274.66,,00271624,87654321,,C:\Users\kseni\ai_invoice_extractor\data\ds3\voda\aquaregion\Q3\faktura_ARG2025279516.pdf
faktura_ARG2024943776.pdf,AquaRegion s.r.o.,Q3,voda,ARG2024943776,2024-07-12,2024-07-26,,2024-01-01,2024-06-30,32084.64,,00271624,87654321,,C:\Users\kseni\ai_invoice_extractor\data\ds3\voda\aquaregion\Q3\faktura_ARG2024943776.pdf
faktura_ATW2025291663.pdf,AquaTown a.s.,Q1,voda,ATW2025291663,2025-01-13,2025-01-27,,2024-07-01,2024-12-31,43361.08,,00262812,33441122,,C:\Users\kseni\ai_invoice_extractor\data\ds3\voda\aquatown\Q1\faktura_ATW2025291663.pdf
faktura_ATW2025378297.pdf,AquaTown a.s.,Q1,voda,ATW2025378297,2025-07-12,2025-07-26,,2025-01-01,2025-06-30,51862.2,,00314021,33441122,,C:\Users\kseni\ai_invoice_extractor\data\ds3\voda\aquatown\Q1\faktura_ATW2025378297.pdf
faktura_ATW2025263573.pdf,AquaTown a.s.,Q1,voda,ATW2025263573,2025-07-16,2025-07-30,,2025-01-01,2025-06-30,25985.95,,00271624,33441122,,C:\Users\kseni\ai_invoice_extractor\data\ds3\voda\aquatown\Q1\faktura_ATW2025263573.pdf
faktura_ATW2024743644.pdf,AquaTown a.s.,Q2,voda,ATW2024743644,2024-07-20,2024-08-03,,2024-01-01,2024-06-30,18754.71,,00314021,33441122,,C:\Users\kseni\ai_invoice_extractor\data\ds3\voda\aquatown\Q2\faktura_ATW2024743644.pdf
faktura_ATW2025719531.pdf,AquaTown a.s.,Q2,voda,ATW2025719531,2025-01-10,2025-01-24,,2024-07-01,2024-12-31,38331.73,,00314021,33441122,,C:\Users\kseni\ai_invoice_extractor\data\ds3\voda\aquatown\Q2\faktura_ATW2025719531.pdf
faktura_ATW2024943797.pdf,AquaTown a.s.,Q2,voda,ATW2024943797,2024-07-12,2024-07-26,,2024-01-01,2024-06-30,36738.75,,00262812,33441122,,C:\Users\kseni\ai_invoice_extractor\data\ds3\voda\aquatown\Q2\faktura_ATW2024943797.pdf
faktura_ATW2025869295.pdf,AquaTown a.s.,Q3,voda,ATW2025869295,2025-07-17,2025-07-31,,2025-01-01,2025-06-30,28835.55,,00262812,33441122,,C:\Users\kseni\ai_invoice_extractor\data\ds3\voda\aquatown\Q3\faktura_ATW2025869295.pdf
faktura_ATW2024215830.pdf,AquaTown a.s.,Q3,voda,ATW2024215830,2024-07-15,2024-07-29,,2024-01-01,2024-06-30,20038.84,,00271624,33441122,,C:\Users\kseni\ai_invoice_extractor\data\ds3\voda\aquatown\Q3\faktura_ATW2024215830.pdf
faktura_ATW2025151470.pdf,AquaTown a.s.,Q3,voda,ATW2025151470,2025-01-13,2025-01-27,,2024-07-01,2024-12-31,47756.56,,00271624,33441122,,C:\Users\kseni\ai_invoice_extractor\data\ds3\voda\aquatown\Q3\faktura_ATW2025151470.pdf
faktura_CLW2025644719.pdf,ClearWater s.r.o.,Q1,voda,CLW2025644719,2025-01-11,2025-01-25,,2024-07-01,2024-12-31,13760.61,,00262812,44112233,,C:\Users\kseni\ai_invoice_extractor\data\ds3\voda\clearwater\Q1\faktura_CLW2025644719.pdf
faktura_CLW2025697717.pdf,ClearWater s.r.o.,Q1,voda,CLW2025697717,2025-01-12,2025-01-26,,2024-07-01,2024-12-31,26024.13,,00271624,44112233,,C:\Users\kseni\ai_invoice_extractor\data\ds3\voda\clearwater\Q1\faktura_CLW2025697717.pdf
faktura_CLW2024629208.pdf,ClearWater s.r.o.,Q1,voda,CLW2024629208,2024-07-17,2024-07-31,,2024-01-01,2024-06-30,13485.72,,00271624,44112233,,C:\Users\kseni\ai_invoice_extractor\data\ds3\voda\clearwater\Q1\faktura_CLW2024629208.pdf
faktura_CLW2025690500.pdf,ClearWater s.r.o.,Q2,voda,CLW2025690500,2025-07-12,2025-07-26,,2025-01-01,2025-06-30,46959.22,,00262812,44112233,,C:\Users\kseni\ai_invoice_extractor\data\ds3\voda\clearwater\Q2\faktura_CLW2025690500.pdf
faktura_CLW2024449773.pdf,ClearWater s.r.o.,Q2,voda,CLW2024449773,2024-07-14,2024-07-28,,2024-01-01,2024-06-30,7045.48,,00262812,44112233,,C:\Users\kseni\ai_invoice_extractor\data\ds3\voda\clearwater\Q2\faktura_CLW2024449773.pdf
